run,arm,rec,seed,test_mrr_all,n_all,mrr_interactions,n_interactions,mrr_cue_events,mrr_novel,n_novel,mrr_recurring,n_recurring,mrr_cue_known,mrr_cue_unknown,oracle_permitted,oracle_latent,chance,oracle_permitted_novel,oracle_permitted_recurring
synth_gen_s1r_attention_recoff_rel_s43,attention-gates,off,43,0.2338883339554079,9000,0.2115243779039108,8723,0.9381511088189788,0.13463007256327647,5400,0.33648051658565176,3323,0.21003028802861828,0.26954145689700487,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_attention_recoff_rel_s44,attention-gates,off,44,0.23592829483770522,9000,0.21212365625809318,8723,0.9855595667870036,0.1351812145973967,5400,0.33715801827066044,3323,0.21065415058749645,0.26918610476382215,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_attention_recoff_rel_s45,attention-gates,off,45,0.23028536000834612,9000,0.20652125492855464,8723,0.9786401925391094,0.1268605614894011,5400,0.3359728783325358,3323,0.20373319766071143,0.31478444673557987,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_attention_recoff_rel_s46,attention-gates,off,46,0.23886779960378368,9000,0.2156068746833228,8723,0.9713769984528107,0.1280158339849128,5400,0.3579456106963875,3323,0.21295026559412142,0.3187657956630886,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_attention_recoff_rel_s47,attention-gates,off,47,0.23835342332682502,9000,0.21422455691177636,8723,0.9981949458483754,0.1369303206726448,5400,0.3398305983476205,3323,0.21360745538728168,0.2381872572053963,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_coreoff_recoff_rel_s43,core-off,off,43,0.2387121647769897,9000,0.21476664943172155,8723,0.9927797833935018,0.13761572614848658,5400,0.34013980192328597,3323,0.21439810338283874,0.22907767956733485,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_coreoff_recoff_rel_s44,core-off,off,44,0.23872305432790256,9000,0.21460592559338793,8723,0.9981949458483754,0.13854846587705943,5400,0.33820215865633535,3323,0.21402502607382695,0.23716286401506376,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_coreoff_recoff_rel_s45,core-off,off,45,0.2401985532679539,9000,0.21607095946481542,8723,1.0,0.13749428826286525,5400,0.34376100595609765,3323,0.2156162560542496,0.23372757043948053,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_coreoff_recoff_rel_s46,core-off,off,46,0.2389989023812155,9000,0.21500517269642774,8723,0.9945848375451264,0.13816428022583607,5400,0.3398745134551383,3323,0.2142519073379488,0.24425525766676884,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_coreoff_recoff_rel_s47,core-off,off,47,0.24074775474642193,9000,0.21686687982549557,8723,0.9927797833935018,0.13881213441319004,5400,0.34370877727552546,3323,0.21599455041457327,0.25074034699665015,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_curonly_recoff_rel_s43,current-only-maps,off,43,0.2362852572868718,9000,0.21209071599012339,8723,0.9981949458483754,0.1363361845564567,5400,0.3351946791986097,3323,0.21157720527667256,0.2320308762969075,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_curonly_recoff_rel_s44,current-only-maps,off,44,0.23788333334400694,9000,0.21396881807819126,8723,0.9909747292418772,0.13783540602238098,5400,0.33768847654986617,3323,0.21340878776463038,0.23571538331345057,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_curonly_recoff_rel_s45,current-only-maps,off,45,0.24217925530265821,9000,0.21851232313351154,8723,0.9874740181599386,0.13941868578122998,5400,0.34704245906559716,3323,0.2180052064335626,0.23820419718084293,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_curonly_recoff_rel_s46,current-only-maps,off,46,0.22985095615615375,9000,0.2061017163902385,8723,0.9777376654632972,0.1359453321370025,5400,0.32010847984719726,3323,0.20545094096053743,0.2313720097883095,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_curonly_recoff_rel_s47,current-only-maps,off,47,0.23909007304806223,9000,0.21521387795856473,8723,0.9909747292418772,0.13884904031490575,5400,0.33930961171594026,3323,0.21447792472881624,0.24379171478861694,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
synth_gen_s1r_diag_recoff_rel_s43,diagssm-ordinary,off,43,0.23680000096610015,9000,0.21279376461021457,8723,0.9927797833935018,0.13816941704851882,5400,0.3340611365130605,3323,0.21244573313311038,0.2263081923786815,0.5846819234410393,0.600202351878954,0.058823529411764705,0.5044893164691142,0.7149979263445587
