split,activity,n,n_capped,frac_capped,n_zero_gap_used,frac_zero_gap_used,n_zero_gap_global,n_first_update,n_first_interaction,mean_dt,mean_dt_uncapped,mean_log10_gap_used_pos,hist_dt,hist_log10_gap_update,hist_log10_gap_interaction,reservoir_rows,rows_seen,run,group,clock,delta_scale,dt_time_weight,dt_time_log_scale
train_replay,endpoint,471683,291158,0.617274737482589,2383,0.0050521218699847,0,29692,31556,0.1569740822246733,23.04316824042059,0.0,168497 3450 2005 1429 1126 900 797 648 621 510 542 291158,29692 0 0 438379 3612 0 0 0 0 0 0 0 0 0,31556 0 0 436115 4012 0 0 0 0 0 0 0 0 0,200000,802620,sp_f_s47,audit,global,1.0,1.0596160888671875,-0.05233793333172798
train_replay,closure,119048,105329,0.88476076876554,1172,0.0098447684967408,0,1864,15125,0.2227955977824575,37.459612105534056,0.0,11825 611 318 226 162 140 118 89 87 61 82 105329,1864 0 0 116105 1079 0 0 0 0 0 0 0 0 0,15125 0 0 22091 81832 0 0 0 0 0 0 0 0 0,200000,802620,sp_f_s47,audit,global,1.0,1.0596160888671875,-0.05233793333172798
val,endpoint,93744,79549,0.8485769755931046,0,0.0,0,9339,9339,0.2143539607349696,43.901973381686375,0.0,12237 475 337 275 186 165 126 119 111 81 83 79549,9339 0 0 83025 1379 1 0 0 0 0 0 0 0 0,9339 0 0 83009 1394 2 0 0 0 0 0 0 0 0,200000,802620,sp_f_s47,audit,global,1.0,1.0596160888671875,-0.05233793333172798
val,closure,10570,9372,0.8866603595080417,0,0.0,0,0,0,0.2229071459735249,39.61290656650416,0.0,1065 34 34 15 13 9 8 6 6 7 1 9372,0 0 0 10420 149 1 0 0 0 0 0 0 0 0,0 0 0 223 9832 515 0 0 0 0 0 0 0 0,200000,802620,sp_f_s47,audit,global,1.0,1.0596160888671875,-0.05233793333172798
test,endpoint,95718,83786,0.8753421509016068,0,0.0,0,6538,6538,0.2209985866395278,43.24124857181495,0.0,9939 547 318 249 196 154 157 118 87 88 79 83786,6538 0 0 87410 1759 11 0 0 0 0 0 0 0 0,6538 0 0 87402 1760 18 0 0 0 0 0 0 0 0,200000,802620,sp_f_s47,audit,global,1.0,1.0596160888671875,-0.05233793333172798
test,closure,11857,10425,0.8792274605718141,0,0.0,0,0,0,0.2212265368324047,38.11723045390693,0.0,1261 49 31 24 23 16 6 8 6 2 6 10425,0 0 0 11621 231 5 0 0 0 0 0 0 0 0,0 0 0 181 7978 3698 0 0 0 0 0 0 0 0,200000,802620,sp_f_s47,audit,global,1.0,1.0596160888671875,-0.05233793333172798
train_replay,endpoint,1303199,335044,0.2570935060570181,537,0.0004120629312944,0,525811,534422,0.0806958969911778,0.1667529250585006,3.55627168146902,847220 28920 5551 4933 7185 8949 10555 12112 13451 14329 14950 335044,525811 0 0 0 0 0 164412 308779 287239 16958 0 0 0 0,534422 0 0 0 0 0 144700 312980 292570 18527 0 0 0 0,200000,3319989,sw_f_s43,audit,global,3600.0,0.8348396420478821,0.1589415967464447
train_replay,closure,1061697,1517,0.0014288445761832,1160,0.0010925904471803,0,8611,36755,0.0031654062497788,0.0033194155546355,3.556264856818028,1053212 1809 612 686 569 445 636 711 758 450 292 1517,8611 0 0 0 0 0 754595 248457 48447 1587 0 0 0 0,36755 0 0 0 0 0 14678 113646 587509 309109 0 0 0 0,200000,3319989,sw_f_s43,audit,global,3600.0,0.8348396420478821,0.1589415967464447
val,endpoint,279765,71402,0.2552213464872303,0,0.0,0,81054,81054,0.0796798048710969,0.1642016956036628,3.554597988795161,183246 6287 1214 1037 1468 1832 2056 2309 2780 2968 3166 71402,81054 0 0 0 0 0 34849 73851 73760 16251 0 0 0 0,81054 0 0 0 0 0 32191 75750 74127 16643 0 0 0 0,200000,3319989,sw_f_s43,audit,global,3600.0,0.8348396420478821,0.1589415967464447
val,closure,185742,192,0.0010336918952094,0,0.0,0,0,0,0.0027356965697341,0.0028347392784145,3.554186103455014,184815 252 48 54 49 63 68 78 67 33 23 192,0 0 0 0 0 0 135098 42651 7303 690 0 0 0 0,0 0 0 0 0 0 755 4633 27545 152809 0 0 0 0,200000,3319989,sw_f_s43,audit,global,3600.0,0.8348396420478821,0.1589415967464447
