run,group,dataset,arm,seed,train_steps,train_nonfinite_loss,train_nonfinite_grad,train_clipped,train_skipped_steps,val_nonfinite_positives,val_nonfinite_negatives,val_skipped_queries,val_metric_examples,test_nonfinite_positives,test_nonfinite_negatives,test_skipped_queries,test_metric_examples,query_audit_affected_total,query_audit_parity
polecat_f_s43,audit,tkgl-polecat,tsd,43,0,0,0,0,0,0,0,0,533472,0,0,0,532636,0,True
sp_f_s46,audit,tkgl-smallpedia,tsd,46,0,0,0,0,0,0,0,0,162066,0,0,0,163172,0,True
sp_f_s47,audit,tkgl-smallpedia,tsd,47,0,0,0,0,0,0,0,0,162066,0,0,0,163172,0,True
sp_f_s47_replay2,audit,tkgl-smallpedia,tsd,47,0,0,0,0,0,0,0,0,162066,0,0,0,163172,0,True
sw_f_s43,audit,thgl-software,tsd,43,0,0,0,0,0,0,0,0,223469,0,0,0,223471,0,True
sw_f_s46,audit,thgl-software,tsd,46,0,0,0,0,0,0,0,0,223469,0,0,0,223471,0,True
sw_f_s47,audit,thgl-software,tsd,47,0,0,0,0,0,0,0,0,223469,0,0,0,223471,0,True
wd_f_s43,audit,tkgl-wikidata,tsd,43,0,0,0,0,0,0,0,0,2869900,0,0,0,2877500,0,True
wd_f_s46,audit,tkgl-wikidata,tsd,46,0,0,0,0,0,0,0,0,2869900,0,0,0,2877500,0,True
wd_f_s47,audit,tkgl-wikidata,tsd,47,0,0,0,0,0,0,0,0,2869900,0,0,0,2877500,0,True
wiki_f_s43,audit,tgbl-wiki,tsd,43,0,0,0,0,0,0,0,0,23621,0,0,0,23621,0,True
wiki_f_s46,audit,tgbl-wiki,tsd,46,0,0,0,0,0,0,0,0,23621,0,0,0,23621,0,True
wiki_f_s47,audit,tgbl-wiki,tsd,47,0,0,0,0,0,0,0,0,23621,0,0,0,23621,0,True
wiki_coreoff_s43_lr1e-3,matched,tgbl-wiki,core-off,43,24832,0,0,487,0,0,0,0,23621,0,0,0,23621,0,True
wiki_coreoff_s43_lr3e-4,matched,tgbl-wiki,core-off,43,24832,0,0,2833,0,0,0,0,23621,0,0,0,23621,0,True
attention,smoke,tgbl-wiki,attention-gates,43,560,0,0,185,0,0,0,0,4000,0,0,0,4000,0,True
coreoff,smoke,tgbl-wiki,core-off,43,560,0,0,357,0,0,0,0,4000,0,0,0,4000,0,True
gru,smoke,tgbl-wiki,gru-sheaf,43,560,0,0,188,0,0,0,0,4000,0,0,0,4000,0,True
synth_r,smoke,synth-history:results/review_2026_09_22/synthetic/gen_s1r/data.npz,tsd,43,151,0,0,68,0,0,0,0,1500,0,0,0,1500,0,True
tsd,smoke,tgbl-wiki,tsd,43,560,0,0,228,0,0,0,0,4000,0,0,0,4000,0,True
tsd_clockdiag,smoke,tgbl-wiki,tsd,43,560,0,0,228,0,0,0,0,4000,0,0,0,4000,0,True
